id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,poblacion_total,renta_media_hogar,alquiler_medio_mes,tiene_gran_recinto,total_vut
24425841,Habitación tranquila y luminosa,184215188,Ana,Chamartín,Prosperidad,40.44033,-3.67664,Private room,45.0,1,13,2018-06-14,0.36,1,0,148093,79274,951.72,1,109
24427281,MV Habitación Apartamento Nuevo y Moderno,14032635,Carlos,Carabanchel,Comillas,40.39796,-3.7143,Entire home/apt,146.0,1,0,,0.0,31,354,278090,36350,650.0,0,85
24427784,GP 1H Habitación. Apartamento Nuevo y Moderno,14032635,Carlos,Arganzuela,Acacias,40.4015,-3.71219,Entire home/apt,146.0,1,2,2018-12-07,0.07,31,355,158550,52857,850.0,0,121
24428148,C2 2 1H Habitación. Apartamento Nuevo y Moderno,14032635,Carlos,Carabanchel,Comillas,40.39615,-3.71472,Entire home/apt,120.0,1,3,2018-07-06,0.08,31,354,278090,36350,650.0,0,85
24428500,C2 1 Habitación Apartamento Nuevo y Moderno,14032635,Carlos,Carabanchel,Comillas,40.39751,-3.71451,Entire home/apt,121.0,1,2,2020-03-31,0.09,31,354,278090,36350,650.0,0,85
24436630,Modernos apartamento cerca de Plazas las Ventas,99018982,Alterhome,Salamanca,Guindalera,40.43789,-3.66517,Entire home/apt,117.0,1,9,2020-01-26,0.25,72,0,147256,69147,969.21,0,79
24437133,Apt. Ave María (LAVAPIÉS) ideal 4 FAMILIES or WORK,107141654,Leeways,Centro,Embajadores,40.40898,-3.70202,Entire home/apt,71.0,3,175,2021-04-11,4.81,88,98,141800,44958,825.0,1,218
24437669,Cosy apartment with parking and patio - Riverside,184555947,Daniel,Arganzuela,Legazpi,40.38828,-3.69503,Entire home/apt,83.0,2,87,2020-03-02,2.82,1,0,158550,52857,850.0,0,121
24438248,"Apartamento con patio ajardinado en El Viso,Madrid",32046323,Ivory,Chamartín,El Viso,40.44746,-3.68248,Entire home/apt,200.0,30,0,,0.0,92,226,148093,79274,951.72,1,109
24438280,Habitación doble cerca del Centro Madrid!,80243961,Melissa,Latina,Puerta del Angel,40.41291,-3.72897,Private room,45.0,3,17,2020-01-04,0.51,3,0,251139,38078,651.95,0,68
24443220,"Santa Ana Penthouse, 75 sq.m, 2 BR, 1 BTHR, 6 peop",105708985,Rafael,Centro,Cortes,40.41413,-3.70082,Entire home/apt,84.0,2,176,2021-03-25,4.85,25,136,141800,44958,825.0,1,218
24443762,Super Loft de Lujo en La Latina,163428612,Healthy Karma,Centro,Palacio,40.41119,-3.71342,Entire home/apt,253.0,3,59,2020-03-08,1.89,8,196,141800,44958,825.0,1,218
24444218,Great room,184611550,Fernando,Usera,Almendrales,40.38302,-3.70453,Private room,40.0,1,0,,0.0,1,0,152937,34651,645.09,0,48
24446095,Sunset Malasaña for families by Allô Housing,4599639,Allô,Centro,Universidad,40.4235,-3.70425,Entire home/apt,77.0,4,14,2021-03-27,0.39,32,335,141800,44958,825.0,1,218
24451365,COZY APARTMENT CHUECA,184670198,Miguel Angel,Centro,Justicia,40.42366,-3.70055,Entire home/apt,64.0,15,11,2021-01-09,0.32,2,365,141800,44958,825.0,1,218
24451972,APARTAMENTO EN TIPICA CORRALA EN CENTRO DE MADRID,174329007,Davinia,Centro,Embajadores,40.40966,-3.70565,Entire home/apt,146.0,2,53,2020-02-13,1.47,3,0,141800,44958,825.0,1,218
24457711,La Latina - Precioso Loft,163428612,Healthy Karma,Centro,Palacio,40.41213,-3.71316,Entire home/apt,236.0,3,69,2020-03-08,2.18,8,257,141800,44958,825.0,1,218
24459647,Puerta de Alcalá - Coqueto apartamento,163428612,Healthy Karma,Salamanca,Recoletos,40.42064,-3.68913,Entire home/apt,112.0,3,10,2019-11-16,0.35,8,0,147256,69147,969.21,0,79
24460717,Puerta de Alcalá.  Duplex con Terraza íntima,163428612,Healthy Karma,Salamanca,Recoletos,40.42064,-3.68913,Entire home/apt,141.0,3,24,2020-03-02,0.87,8,0,147256,69147,969.21,0,79
24461899,Coqueto piso Goya-WiZink Center VT-8635,132177161,Mayling,Salamanca,Goya,40.42436,-3.6687,Entire home/apt,79.0,2,112,2021-04-07,3.12,2,116,147256,69147,969.21,0,79
24463484,Apartamento nuevo en Chueca (Madrid Centro) con AC,13203132,Beatriz,Centro,Justicia,40.42094,-3.70029,Entire home/apt,54.0,7,74,2020-10-05,2.09,3,342,141800,44958,825.0,1,218
24466032,"3 Bedrooms in the middle of Chueca ""Chueca II""",28038703,Luxury Rentals Madrid,Centro,Justicia,40.4221,-3.69824,Entire home/apt,173.0,3,22,2021-02-22,0.61,113,156,141800,44958,825.0,1,218
24470468,Casa Nuri,83224467,Nuria,Moncloa - Aravaca,Casa de Campo,40.42421,-3.72823,Private room,90.0,2,20,2020-03-01,0.56,1,73,126257,71711,900.49,1,24
24478692,Superior Executive room 10 min from Airport,23441165,Andrea,Hortaleza,Canillas,40.4648,-3.6387,Private room,19.0,1,146,2021-04-04,4.03,26,363,209178,61472,896.61,1,28
